41999, 785
(1.72412,1357.76)
(-0.03502,4632.24)
(-3.31421,1930.45)
(-1.09532,1391.52)
(0.4621,2111.2)
(-0.0225439,-828.499)
(1.86268,2067.66)
(2.03235,-564.895)
(-0.385487,6601.98)
(1.37515,-757.83)
(0.208818,0)
(0.419932,0)
(0.175955,0)
(-1.25307,0)
(1.46176,0)
(1.31121,0)
(1.63873,0)
(0.416345,0)
(0.147909,0)
(0.257332,0)
(0.54111,0)
(0.87248,0)
(-0.47545,0)
(-0.868326,0)
(1.20063,0)
(-0.571853,0)
(0.0257606,0)
(-0.424603,0)
(0.173307,0)
(-0.734242,0)
(-1.61036,0)
(-0.244188,0)
(0.909267,0)
(-0.506617,0)
(0.66999,0)
(1.7899,0)
(-0.895417,0)
(-0.246265,0)
(-0.311305,0)
(0.435114,0)
(-0.022622,0)
(1.74915,0)
(-0.486513,0)
(0.196086,0)
(1.82391,0)
(0.873496,0)
(1.62294,0)
(-1.19378,0)
(0.472965,0)
(-0.027322,0)
(0.0392055,0)
(-0.736831,0)
(-0.554017,0)
(0.413685,0)
(1.63394,0)
(-1.04841,0)
(-0.274196,0)
(-1.715,0)
(-0.146987,0)
(0.268366,0)
(0.6319,0)
(-1.05229,0)
(-0.687834,0)
(0.768211,0)
(1.57719,0)
(0.525898,0)
(-1.01447,0)
(1.65972,0)
(-0.533436,0)
(-0.431835,0)
(0.498241,0)
(-0.457081,0)
(0.504283,0)
(-0.317886,0)
(0.875986,0)
(-2.05726,0)
(1.03949,0)
(-0.860204,0)
(-0.843087,0)
(-0.845546,0)
(0.962518,0)
(0.161927,0)
(-0.0430271,0)
(-1.25954,0)
(-1.15116,0)
(0.293105,0)
(0.303593,0)
(1.10077,0)
(0.397345,0)
(-1.2775,0)
(-0.448049,0)
(-0.103509,0)
(0.000118256,0)
(0.181299,0)
(-0.32853,0)
(-1.69639,0)
(0.419558,0)
(0.419568,0)
(2.13388,0)
(0.951199,0)
(1.05827,0)
(1.781,0)
(1.50437,0)
(-0.395537,0)
(0.221629,0)
(-1.44115,0)
(0.221375,0)
(-0.622415,0)
(-1.1832,0)
(0.206147,0)
(-0.746576,0)
(0.3319,0)
(0.0514464,0)
(-0.689492,0)
(1.07298,0)
(-1.64506,0)
